"0"	[862338,9.8723876989,88876649.9762578756]
"1"	[452810,-18.5601023777,93247482.7903807759]
"10"	[17310,98.4633204592,108084209.9447234571]
"11"	[897044,-9.164971808,83932099.4666948766]
"12"	[222066,-5.5062780164,80631434.945111528]
"13"	[158627,44.1673229575,102056021.7355928123]
"14"	[873568,20.4287172296,102647242.9599727243]
"15"	[17016,144.5863449707,78999640.0529579222]
"16"	[678390,17.0399901669,83348553.46437639]
"17"	[145306,-3.2899699519,69866385.3784104288]
"18"	[134370,-14.5280964438,105645041.2298439294]
"19"	[229768,-3.3207148817,91850219.0803915113]
"2"	[105548,-15.2362230833,83553366.6341634244]
"20"	[676289,0.3219578656,102028374.4676377773]
"21"	[1146955,28.0316962742,65361314.7443502545]
"22"	[490487,6.2740169363,75418085.9576250613]
"23"	[223434,-2.9732090622,97484417.2359216213]
"24"	[112730,71.0843919881,103876466.2121575475]
"3"	[358093,0.6398833915,109463481.4812609553]
"4"	[137728,-21.6628919329,76603243.7971071899]
"5"	[223385,24.3867215747,127109022.552921772]
"6"	[1081245,15.9633708407,88374442.4970687181]
"7"	[341522,-41.021803702,117405452.4690754563]
"8"	[300539,25.9783215635,87148464.7218425572]
"9"	[113432,12.3038561143,104967969.174192965]
